base,seed,kind,format,applied,vocab,expect,exit_code,outcome_ok,identical,planted,orig_found,found,decoys,orig_decoys_accused,decoys_accused,validator_vs_mutated,validator_compatible_expected,validator_vs_export,precision_lost,missed_outside_disabled,structure_status,disabled_schemes,low_confidence,llm_assist_calls,deterministic,error_message
seed_1,1,rename_tables,sqlite,rename_tables,tuning,identical,0,True,True,5,5,5,4,0,0,fail,False,pass,,,adapted,,0,0,True,
seed_1,1,rename_columns,sqlite,rename_columns,tuning,identical,0,True,True,5,5,5,4,0,0,crash,False,pass,,,adapted,,0,0,True,
seed_1,1,reorder_columns,sqlite,reorder_columns,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,n/a (identity),,,identity,,0,0,True,
seed_1,1,extra_columns,sqlite,extra_columns,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,date_formats,sqlite,date_formats,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,amount_text,sqlite,amount_text,tuning,identical,0,True,True,5,5,5,4,0,0,crash,False,pass,,,adapted,,0,0,True,
seed_1,1,status_alternates,sqlite,status_alternates,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,rfc_prefix,sqlite,rfc_prefix,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,emp_id_format,sqlite,emp_id_format,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,n/a (identity),,,identity,,0,0,True,
seed_1,1,emp_ref_format,sqlite,emp_ref_format,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,clabe_numeric,sqlite,clabe_numeric,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,null_tokens,sqlite,null_tokens,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,id_formats,sqlite,id_formats,tuning,identical,0,True,True,5,5,5,4,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_1,1,combo,sqlite,emp_ref_format+clabe_numeric+null_tokens+rename_columns+reorder_columns,tuning,identical,0,True,True,5,5,5,4,0,0,crash,False,pass,,,adapted,,0,0,True,
seed_1,1,drop_optional,sqlite,drop_optional,tuning,degraded,0,True,False,5,5,4,4,0,0,pass,True,pass,,,adapted,revenue_inflation,0,0,True,
seed_1,1,drop_required,sqlite,drop_required,tuning,error,2,True,,5,5,,4,0,,,,,,,,,,,,"error: estate structure: required fields invoices.total could not be located. Without them no finding can cite or reconcile an invoice, so the run stops instead of guessing. Tables seen: bank_txns(txn_id, date, from_clabe, to_clabe, amount, reference, channel); contracts(contract_id, vendor_rfc, sta"
seed_1,1,none,csv_dir,-,tuning,identical,0,True,True,5,5,5,4,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_1,1,none,csv_messy,-,tuning,identical,0,True,True,5,5,5,4,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_1,1,none,csv_bom_tab,-,tuning,identical,0,True,True,5,5,5,4,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_1,1,none,csv_zip,-,tuning,identical,0,True,True,5,5,5,4,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_1,1,none,xlsx,-,tuning,identical,0,True,True,5,5,5,4,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_1,1,none,xlsx_messy,-,tuning,identical,0,True,True,5,5,5,4,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_1,1,none,xlsx_zip,-,tuning,identical,0,True,True,5,5,5,4,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_1,1,none,xlsx_numeric_clabe,-,tuning,degraded,0,True,False,5,5,2,4,0,0,n/a (not SQLite),False,pass,bank_txns.from_clabe=198;bank_txns.to_clabe=198;employees.bank_clabe=22;vendors.bank_clabe=39,,adapted,kickback;round_tripping;revenue_inflation,0,0,True,
seed_1,1,none,single_csv,-,tuning,degraded,0,True,False,5,5,0,4,0,0,n/a (not SQLite),False,pass,,,adapted,phantom_vendor;kickback;round_tripping;threshold_splitting;revenue_inflation,0,0,True,
seed_2,2,rename_tables,sqlite,rename_tables,tuning,identical,0,True,True,4,4,4,9,0,0,fail,False,pass,,,adapted,,0,0,True,
