base,seed,kind,format,applied,vocab,expect,exit_code,outcome_ok,identical,planted,orig_found,found,decoys,orig_decoys_accused,decoys_accused,validator_vs_mutated,validator_compatible_expected,validator_vs_export,precision_lost,missed_outside_disabled,structure_status,disabled_schemes,low_confidence,llm_assist_calls,deterministic,error_message
seed_501,501,rename_tables,sqlite,rename_tables,heldout,identical,0,True,True,3,3,3,7,0,0,fail,False,pass,,,adapted,,0,0,True,
seed_501,501,rename_columns,sqlite,rename_columns,heldout,identical,0,False,False,3,3,1,7,0,0,crash,False,pass,,,adapted,phantom_vendor;round_tripping;revenue_inflation,1,0,True,
seed_501,501,reorder_columns,sqlite,reorder_columns,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,n/a (identity),,,identity,,0,0,True,
seed_501,501,extra_columns,sqlite,extra_columns,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_501,501,date_formats,sqlite,date_formats,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_501,501,amount_text,sqlite,amount_text,heldout,identical,0,True,True,3,3,3,7,0,0,crash,False,pass,,,adapted,,0,0,True,
seed_501,501,status_alternates,sqlite,status_alternates,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_501,501,rfc_prefix,sqlite,rfc_prefix,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_501,501,emp_id_format,sqlite,emp_id_format,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,n/a (identity),,,identity,,0,0,True,
seed_501,501,emp_ref_format,sqlite,emp_ref_format,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_501,501,clabe_numeric,sqlite,clabe_numeric,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_501,501,null_tokens,sqlite,null_tokens,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,n/a (identity),,,identity,,0,0,True,
seed_501,501,id_formats,sqlite,id_formats,heldout,identical,0,True,True,3,3,3,7,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_501,501,combo,sqlite,date_formats+amount_text+id_formats+rename_tables+extra_columns,heldout,identical,0,True,True,3,3,3,7,0,0,fail,False,pass,,,adapted,,0,0,True,
seed_501,501,drop_optional,sqlite,drop_optional,heldout,degraded,0,True,False,3,3,2,7,0,0,pass,False,pass,,,adapted,phantom_vendor;threshold_splitting,0,0,True,
seed_501,501,drop_required,sqlite,drop_required,heldout,error,2,True,,3,3,,7,0,,,,,,,,,,,,"error: estate structure: required fields invoices.total could not be located. Without them no finding can cite or reconcile an invoice, so the run stops instead of guessing. Tables seen: bank_txns(txn_id, date, from_clabe, to_clabe, amount, reference, channel); contracts(contract_id, vendor_rfc, sta"
seed_501,501,none,csv_dir,-,heldout,identical,0,True,True,3,3,3,7,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_501,501,none,csv_messy,-,heldout,identical,0,True,True,3,3,3,7,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_501,501,none,csv_bom_tab,-,heldout,identical,0,True,True,3,3,3,7,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_501,501,none,csv_zip,-,heldout,identical,0,True,True,3,3,3,7,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_501,501,none,xlsx,-,heldout,identical,0,True,True,3,3,3,7,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_501,501,none,xlsx_messy,-,heldout,identical,0,True,True,3,3,3,7,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_501,501,none,xlsx_zip,-,heldout,identical,0,True,True,3,3,3,7,0,0,n/a (not SQLite),False,pass,,,adapted,,0,0,True,
seed_501,501,none,xlsx_numeric_clabe,-,heldout,degraded,0,True,False,3,3,1,7,0,0,n/a (not SQLite),False,pass,bank_txns.from_clabe=216;bank_txns.to_clabe=216;employees.bank_clabe=22;vendors.bank_clabe=40,,adapted,kickback;round_tripping;revenue_inflation,0,0,True,
seed_501,501,none,single_csv,-,heldout,degraded,0,True,False,3,3,0,7,0,0,n/a (not SQLite),False,pass,,,adapted,phantom_vendor;kickback;round_tripping;threshold_splitting;revenue_inflation,0,0,True,
seed_502,502,rename_tables,sqlite,rename_tables,heldout,identical,0,True,True,3,3,3,8,0,0,fail,False,pass,,,adapted,,0,0,True,
seed_502,502,rename_columns,sqlite,rename_columns,heldout,identical,0,False,False,3,3,2,8,0,0,crash,False,pass,,,adapted,kickback,1,0,True,
seed_502,502,reorder_columns,sqlite,reorder_columns,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,n/a (identity),,,identity,,0,0,True,
seed_502,502,extra_columns,sqlite,extra_columns,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,date_formats,sqlite,date_formats,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,amount_text,sqlite,amount_text,heldout,identical,0,True,True,3,3,3,8,0,0,crash,False,pass,,,adapted,,0,0,True,
seed_502,502,status_alternates,sqlite,status_alternates,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,rfc_prefix,sqlite,rfc_prefix,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,emp_id_format,sqlite,emp_id_format,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,n/a (identity),,,identity,,0,0,True,
seed_502,502,emp_ref_format,sqlite,emp_ref_format,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,clabe_numeric,sqlite,clabe_numeric,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,null_tokens,sqlite,null_tokens,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,id_formats,sqlite,id_formats,heldout,identical,0,True,True,3,3,3,8,0,0,pass,True,pass,,,adapted,,0,0,True,
seed_502,502,combo,sqlite,emp_id_format+clabe_numeric+rename_tables+extra_columns,heldout,identical,0,True,True,3,3,3,8,0,0,fail,False,pass,,,adapted,,0,0,True,
